seed,baseline,B_max,delta,eta,oscillation_rate,recovery_steps_per_episode,bound_ratio,bound_violation_rate,regret_vs_pi_rb
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.08,1.0,2.0,0.08333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.05,0.08,1.0,2.0,0.08333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.02,0.0,2.0,0.18181818181818182,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.02,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.02,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.02,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.05,0.0,2.0,0.18181818181818182,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.05,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.05,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.05,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.08,0.0,2.0,0.18181818181818182,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.08,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.08,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.1,0.08,0.0,2.0,0.16666666666666666,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.02,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.05,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,2,0.2,0.08,0.0,2.0,0.3333333333333333,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.02,0.0,3.0,0.13636363636363635,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.02,0.0,3.0,0.125,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.02,0.0,3.0,0.125,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.02,0.0,3.0,0.125,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.05,1.0,3.0,0.13636363636363635,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.05,1.0,3.0,0.125,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.05,1.0,3.0,0.125,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.05,1.0,3.0,0.125,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.08,1.0,3.0,0.13636363636363635,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.08,1.0,3.0,0.125,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.08,1.0,3.0,0.125,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.05,0.08,1.0,3.0,0.125,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.02,0.0,3.0,0.2727272727272727,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.02,0.0,3.0,0.25,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.02,0.0,3.0,0.25,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.02,0.0,3.0,0.25,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.05,0.0,3.0,0.2727272727272727,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.05,0.0,3.0,0.25,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.05,0.0,3.0,0.25,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.05,0.0,3.0,0.25,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.08,0.0,3.0,0.2727272727272727,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.08,0.0,3.0,0.25,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.08,0.0,3.0,0.25,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.1,0.08,0.0,3.0,0.25,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.02,0.0,3.0,0.5,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.02,0.0,3.0,0.5,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.02,0.0,3.0,0.5,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.02,0.0,3.0,0.5,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.05,0.0,3.0,0.5,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.05,0.0,3.0,0.5,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.05,0.0,3.0,0.5,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.05,0.0,3.0,0.5,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.08,0.0,3.0,0.5,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.08,0.0,3.0,0.5,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.08,0.0,3.0,0.5,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,3,0.2,0.08,0.0,3.0,0.5,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.02,0.0,5.0,0.22727272727272727,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.02,0.0,5.0,0.20833333333333334,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.02,0.0,5.0,0.20833333333333334,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.02,0.0,5.0,0.20833333333333334,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.05,1.0,5.0,0.22727272727272727,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.05,1.0,5.0,0.20833333333333334,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.05,1.0,5.0,0.20833333333333334,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.05,1.0,5.0,0.20833333333333334,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.08,1.0,5.0,0.22727272727272727,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.08,1.0,5.0,0.20833333333333334,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.08,1.0,5.0,0.20833333333333334,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.05,0.08,1.0,5.0,0.20833333333333334,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.02,0.0,5.0,0.45454545454545453,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.02,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.02,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.02,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.05,0.0,5.0,0.45454545454545453,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.05,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.05,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.05,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.08,0.0,5.0,0.45454545454545453,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.08,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.08,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.1,0.08,0.0,5.0,0.4166666666666667,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.02,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.05,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
13,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
29,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
47,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
89,BL-ROLLBACK-ONLY-COMPARATOR-Pi_rb,5,0.2,0.08,0.0,5.0,0.8333333333333334,0.0,0.060000000000000005
